SN,Name of Lines,Length in Route km,Length in Ckt. Km,No. of Ckt.,Conductor,Size,Voltage Level
223,Sripur-Bhaluka,22,45,Double,Grosbeak,636 MCM,132 kV
224,LILO of Kaliakoir-Tangail at Mirzapur,2,7,Four,ACCC Grosbeak,636 MCM,132 kV
225,LILO of Sylhet-Fenchuganj at Sylhet(S),2,8,Four,ACCC Grosbeak,636 MCM,132 kV
226,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara,3,11,Four,Grosbeak,636 MCM,132 kV
227,LILO of Madunaghat-Khulshi (Circuit-2) atSholoshahor substation,1,2,Double,XLPE,800sq,132 kV
228,LILO of Niamatpur-Chowdala at Rahanpur,2,8,Four,Grosbeak,636 MCM,132 kV
229,Bhaluka- Barmi (BR Powergen),32,65,Double,ACCC Grosbeak,636 MCM,132 kV
230,LILO of Tangail-RPCL at Ghatail,1,3,Double,Grosbeak,636 MCM,132 kV
231,Niyamatpur-Rahanpur (LILO point),28,56,Double,Grosbeak,636 MCM,132 kV
232,Naogaon-Joypurhat,47.0,47.0,Single,Grosbeak,636 MCM,132 kV
233,Panchagarh-Thakurgaon,45.0,45.0,Single,Grosbeak,636 MCM,132 kV
234,US DK - Cox's Bazar,11,11,Single,Grosbeak,636 MCM,132 kV
235,Barishal (N)-Bhandaria,47,93,Double,Grosbeak,636 MCM,132 kV
236,LILO of Ghorashal-Joydevpur at Pubail,3,13,Four,Grosbeak,636 MCM,132 kV
237,Sirangj 68MW Solar-Sirajganj,10,20,Double,Grosbeak,636 MCM,132 kV
238,LILO of Cumilla(N)-Daudkandi at Muradnagar,2,7,Four,Grosbeak,636 MCM,132 kV
239,LILO of Ashuganj-Kishoreganj at Bajitpur,0,1,Four,ACCC Grosbeak,636 MCM,132 kV
240,Rahanpur-Chowdala(Section onward),7,14,Double,Grosbeak,636 MCM,132 kV
241,LILO of Ghatial-RPCL at Muktagacha,1,3,Four,Grosbeak,636 MCM,132 kV
242,Muradnagar-Kosba,24,48,Double,Grosbeak,636 MCM,132 kV
243,Jhenaidah-Chuadanga,39,39,Single,Grosbeak,636 MCM,132 kV
244,Kurigram-Lalmonirht 2nd circuit,31,31,Single,Grosbeak,636 MCM,132 kV
245,LILO of Hairpur-Narsinghdi at Bhulta (N),0,1,Four,Grosbeak,636 MCM,132 kV
246,LILO of Sikalbaha-Dohazari at Patiya,0,2,Four,ACCC Grosbeak,636 MCM,132 kV
247,LILO of Halishahar-Khulsi at Anandabazar,0,1,Four,Grosbeak,636 MCM,132 kV
248,Cumilla(N)-Chandina,16,32,Double,Grosbeak,636 MCM,132 kV
249,Rajendrapur-Sreepur,20,41,Double,Grosbeak,636 MCM,132 kV
250,Araihazar-Bhulta,8,16,Double,Grosbeak,636 MCM,132 kV
251,Dynamics Solar Plant-Ishurdi,22,44,Double,Grosbeak,636 MCM,132 kV
252,Kachua-Laksam,32,64,Double,Grosbeak,636 MCM,132 kV
253,Chowmuhani-Lakshmipur,27,54,Double,Grosbeak,636 MCM,132 kV
254,LILO of Saidpur-Rangpur at Taraganj,0,1,Four,Grosbeak,636 MCM,132 kV
255,LILO of Feni-Chowmuhani at Dagunbhuyan,3,11,Four,Grosbeak,636 MCM,132 kV
256,Rampura-Basundhara,12,23,Double,Grosbeak,636 MCM,132 kV
257,Sripur-Kodda (Partial),9,18,Double,Grosbeak,636 MCM,132 kV
258,Sirajganj Solar-Sirajganj Grid,10,20,Double,Grosbeak,636 MCM,132 kV
259,LILO of Ishwardi-Baghabari line at Sathia,1,1,Double,Grosbeak,636 MCM,132 kV
260,Kaliganj- Maheshpur,26,52,Double,Grosbeak,636 MCM,132 kV
261,LILO of Feni Chauddagram at Feni 230/132 kV,4,16,Four,Grosbeak,636 MCM,132 kV
262,LILO of Barishal-Patuakhali at Bakerganj,3,5,Double,Grosbeak,636 MCM,132 kV
263,Sathia-Pabna 64 MW Solar,35,69,Double,Grosbeak,636 MCM,132 kV
